,Attack,SynBA_Annotation,TextFooler_Annotation,BAE_Annotation
0,<font color = green>POS (99.68%)</font> --> <font color = red>NEG (78.12%)</font> </br></br> <b>Original:</b> <font color = green>entertaining</font> despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together . </br></br> <b>SynBA:</b> <font color = red>entertained</font> despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together . </br></br> <b>TextFooler:</b> <font color = red>entertained</font> despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together . </br></br> <b>BAE:</b> <font color = red>entertainment</font> despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .,CONSISTENT,CONSISTENT,CONSISTENT
1,<font color = red>NEG (99.3%)</font> --> <font color = green>POS (98.77%)</font> </br></br> <b>Original:</b> more <font color = red>likely</font> to have you scratching your head than hiding under your seat . </br></br> <b>SynBA:</b> more <font color = green>capable</font> to have you scratching your head than hiding under your seat . </br></br> <b>TextFooler:</b> more <font color = green>capable</font> to have you scratching your head than <font color = green>disguising</font> under your seat . </br></br> <b>BAE:</b> more <font color = green>funny</font> to have you scratching your head than <font color = green>cracking</font> under your seat .,CONSISTENT,CONSISTENT,INCONSISTENT
2,"<font color = red>NEG (99.9%)</font> --> <font color = green>POS (99.87%)</font> </br></br> <b>Original:</b> aptly named , this <font color = red>shimmering</font> , beautifully costumed and filmed production doesn't <font color = red>work</font> for me . </br></br> <b>SynBA:</b> aptly named , this <font color = green>sparkled</font> , beautifully costumed and filmed production doesn't <font color = green>labor</font> for me . </br></br> <b>TextFooler:</b> aptly named , this shimmering , beautifully costumed and filmed production doesn't <font color = green>labour</font> for me . </br></br> <b>BAE:</b> aptly named , this shimmering , beautifully costumed and filmed production doesn't <font color = green>wait</font> for me .",CONSISTENT,CONSISTENT,UNCLEAR
3,<font color = green>POS (99.82%)</font> --> <font color = red>NEG (99.83%)</font> </br></br> <b>Original:</b> smith finds <font color = green>amusing</font> juxtapositions that justify his exercise . </br></br> <b>SynBA:</b> smith finds <font color = red>distracting</font> juxtapositions that justify his exercise . </br></br> <b>TextFooler:</b> smith finds <font color = red>distracting</font> juxtapositions that justify his exercise . </br></br> <b>BAE:</b> <font color = red>i</font> <font color = red>miss</font> amusing <font color = red>references</font> that justify his exercise .,INCONSISTENT,INCONSISTENT,UNCLEAR
4,<font color = green>POS (99.91%)</font> --> <font color = red>NEG (99.64%)</font> </br></br> <b>Original:</b> it's a very <font color = green>valuable</font> film . . . </br></br> <b>SynBA:</b> it's a very <font color = red>inestimable</font> film . . . </br></br> <b>TextFooler:</b> it's a <font color = red>too</font> valuable film . . . </br></br> <b>BAE:</b> it's a very <font color = red>small</font> <font color = red>property</font> . . .,CONSISTENT,INCONSISTENT,UNCLEAR
5,<font color = red>NEG (99.93%)</font> --> <font color = green>POS (95.35%)</font> </br></br> <b>Original:</b> a dark comedy that goes for sick and demented humor simply to do so . the movie is without <font color = red>intent</font> . </br></br> <b>SynBA:</b> a dark comedy that goes for sick and demented humor simply to do so . the movie is without <font color = green>object</font> . </br></br> <b>TextFooler:</b> a dark comedy that goes for <font color = green>psychopathic</font> and <font color = green>coot</font> humor <font color = green>honestly</font> to do so . the <font color = green>film</font> is without <font color = green>object</font> . </br></br> <b>BAE:</b> a dark comedy that goes for sick and demented humor simply to do so . the movie is <font color = green>of</font> intent .,CONSISTENT,CONSISTENT,CONSISTENT
6,"<font color = red>NEG (62.15%)</font> --> <font color = green>POS (51.99%)</font> </br></br> <b>Original:</b> 'es en <font color = red>verdad</font> <font color = red>una</font> pena que mandoki esté realizando cintas tan malas desde hace algún <font color = red>tiempo</font> , pues talento tiene , pero quién sabe dónde lo tiene escondido . ' </br></br> <b>SynBA:</b> 'es en <font color = green>esto</font> <font color = green>une</font> pena que mandoki esté realizando cintas tan malas desde hace algún <font color = green>times</font> , pues talento tiene , pero quién sabe dónde lo tiene escondido . ' </br></br> <b>TextFooler:</b> 'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , <font color = green>luego</font> talento tiene , pero quién sabe dónde lo tiene escondido . ' </br></br> <b>BAE:</b> 'es en verdad una pena que mandoki esté <font color = green>les</font> cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",CONSISTENT,CONSISTENT,CONSISTENT
7,<font color = red>NEG (99.7%)</font> --> <font color = green>POS (82.43%)</font> </br></br> <b>Original:</b> bearable . <font color = red>barely</font> . </br></br> <b>SynBA:</b> bearable . <font color = green>merely</font> . </br></br> <b>TextFooler:</b> bearable . <font color = green>closely</font> . </br></br> <b>BAE:</b> bearable . <font color = green>now</font> .,CONSISTENT,UNCLEAR,UNCLEAR
8,<font color = green>POS (99.92%)</font> --> <font color = red>NEG (99.93%)</font> </br></br> <b>Original:</b> one <font color = green>funny</font> popcorn flick . </br></br> <b>SynBA:</b> one <font color = red>odd</font> popcorn flick . </br></br> <b>TextFooler:</b> one <font color = red>nosy</font> popcorn flick . </br></br> <b>BAE:</b> one <font color = red>cheap</font> popcorn flick .,INCONSISTENT,INCONSISTENT,CONSISTENT
9,"<font color = red>NEG (99.96%)</font> --> <font color = green>POS (98.59%)</font> </br></br> <b>Original:</b> a <font color = red>zombie</font> movie in every sense of the word--mindless , <font color = red>lifeless</font> , meandering , loud , <font color = red>painful</font> , <font color = red>obnoxious</font> . </br></br> <b>SynBA:</b> a <font color = green>ghoul</font> movie in every sense of the word--mindless , <font color = green>puny</font> , meandering , loud , <font color = green>tough</font> , <font color = green>despicable</font> . </br></br> <b>TextFooler:</b> a <font color = green>undead</font> <font color = green>panorama</font> in every sense of the word--mindless , lifeless , meandering , <font color = green>potent</font> , painful , <font color = green>despicable</font> . </br></br> <b>BAE:</b> a zombie <font color = green>nightmare</font> in every sense of the word--mindless , lifeless , meandering , loud , painful , <font color = green>hilarious</font> .",CONSISTENT,UNCLEAR,CONSISTENT
