"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"bears is even <font color = red>worse</font> than i imagined a movie ever could be .","bears is even <font color = green>greater</font> than i imagined a movie ever could be .",0.006875574588775635,0.9993562698364258,0,1,0,55,"Successful"
"although estela bravo's documentary is cloyingly hagiographic in its <font color = green>portrait</font> of cuban leader fidel castro , it's <font color = green>still</font> a guilty <font color = green>pleasure</font> to watch .","although estela bravo's documentary is cloyingly hagiographic in its <font color = red>portraits</font> of cuban leader fidel castro , it's <font color = red>actually</font> a guilty <font color = red>shame</font> to watch .",0.001990973949432373,0.5369205474853516,1,0,1,41,"Successful"
"i have a new favorite musical -- and i'm not even a fan of the genre","i have a new favorite musical -- and i'm not even a fan of the genre",0.9987711906433105,0.9987711906433105,0,0,1,1,"Skipped"
"it's lazy for a movie to avoid <font color = red>solving</font> one problem by trying to distract us with the solution to another .","it's lazy for a movie to avoid <font color = red>mentioning</font> one problem by trying to distract us with the solution to another .",0.0005148649215698242,0.000637352466583252,0,0,0,26,"Failed"
"<font color = green>even</font> when he's not at his most critically insightful , godard can <font color = green>still</font> be smarter than any 50 other filmmakers still at work .","<font color = red>now</font> when he's not at his most critically insightful , godard can <font color = red>only</font> be smarter than any 50 other filmmakers still at work .",0.002471745014190674,0.9911526441574097,1,0,1,70,"Successful"
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",0.9937938451766968,0.9937938451766968,1,1,0,1,"Skipped"
"it's unlikely we'll see a better thriller this year .","it's unlikely we'll see a better thriller this year .",0.998732328414917,0.998732328414917,0,0,1,1,"Skipped"
"the story gives ample <font color = green>opportunity</font> for large-scale action and suspense , which director shekhar kapur supplies with tremendous <font color = green>skill</font> .","the story gives ample <font color = green>material</font> for large-scale action and suspense , which director shekhar kapur supplies with tremendous <font color = green>ease</font> .",0.001867830753326416,0.0030095577239990234,1,1,1,46,"Failed"
"ultimately this is a <font color = red>frustrating</font> patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .","ultimately this is a <font color = green>wonderful</font> patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .",0.0012558698654174805,0.9967038631439209,0,1,0,49,"Successful"
"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",0.9787995219230652,0.9787995219230652,1,1,0,1,"Skipped"
"some writer <font color = red>dude</font> , i <font color = red>think</font> his name was , uh , michael zaidan , was <font color = red>supposed</font> to have like <font color = red>written</font> the screenplay or something , but , dude , the only thing that i <font color = red>ever</font> saw that was written down were the zeroes on my paycheck .","some writer <font color = red>guy</font> , i <font color = red>believe</font> his name was , uh , michael zaidan , was <font color = red>meant</font> to have like <font color = red>mentioned</font> the screenplay or something , but , dude , the only thing that i <font color = red>actually</font> saw that was written down were the zeroes on my paycheck .",0.0017235279083251953,0.0022811293601989746,0,0,0,72,"Failed"
"a sha-na-na sketch <font color = red>punctuated</font> with graphic violence .","a sha-na-na sketch <font color = green>packed</font> with graphic violence .",0.0026917457580566406,0.9964934587478638,0,1,0,52,"Successful"
"like the series , the movie is funny , smart , visually <font color = green>inventive</font> , and most of all , alive .","like the series , the movie is funny , smart , visually <font color = green>good</font> , and most of all , alive .",0.0006294846534729004,0.0008327960968017578,1,1,1,21,"Failed"
"perhaps even the slc high command found writer-director mitch davis's wall of kitsch <font color = red>hard</font> going .","perhaps even the slc high command found writer-director mitch davis's wall of kitsch <font color = green>good</font> going .",0.0004807710647583008,0.992158055305481,0,1,0,18,"Successful"
"'es en verdad una pena que mandoki esté <font color = red>realizando</font> cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '","'es en verdad una pena que mandoki esté <font color = green>les</font> cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",0.378500759601593,0.5722144842147827,0,1,0,59,"Successful"
"the spalding gray <font color = red>equivalent</font> of a teen gross-out comedy .","the spalding gray <font color = green>best</font> of a teen gross-out comedy .",0.0004073977470397949,0.9396616220474243,0,1,0,55,"Successful"
"all <font color = red>mood</font> and no <font color = red>movie</font> .","all <font color = red>songs</font> and no <font color = red>subspecies</font> .",0.0012192130088806152,0.46866995096206665,0,0,0,99,"Failed"
