"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"bears is even <font color = red>worse</font> than i imagined a movie ever could be .","bears is even <font color = green>greatest</font> than i imagined a movie ever could be .",0.006875574588775635,0.9993869066238403,0,1,0,33,"Successful"
"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's <font color = green>still</font> a guilty <font color = green>pleasure</font> to <font color = green>watch</font> .","although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's <font color = red>anyway</font> a guilty <font color = red>placing</font> to <font color = red>tracked</font> .",0.001990973949432373,0.8991798758506775,1,0,1,134,"Successful"
"i have a new favorite musical -- and i'm not even a fan of the genre","i have a new favorite musical -- and i'm not even a fan of the genre",0.9987711906433105,0.9987711906433105,0,0,1,1,"Skipped"
"it's <font color = red>lazy</font> for a <font color = red>movie</font> to avoid <font color = red>solving</font> one problem by <font color = red>trying</font> to distract us with the solution to another .","it's <font color = green>shiftless</font> for a <font color = green>cinematographer</font> to avoid <font color = green>resolved</font> one problem by <font color = green>wanting</font> to distract us with the solution to another .",0.0005148649215698242,0.805728018283844,0,1,0,108,"Successful"
"even when he's not at his most critically insightful , godard can <font color = green>still</font> be smarter than any 50 other <font color = green>filmmakers</font> still at work .","even when he's not at his most critically insightful , godard can <font color = red>otherwise</font> be smarter than any 50 other <font color = red>cameramen</font> still at work .",0.002471745014190674,0.6480667591094971,1,0,1,65,"Successful"
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",0.9937938451766968,0.9937938451766968,1,1,0,1,"Skipped"
"it's unlikely we'll see a better thriller this year .","it's unlikely we'll see a better thriller this year .",0.998732328414917,0.998732328414917,0,0,1,1,"Skipped"
"the story <font color = green>gives</font> ample <font color = green>opportunity</font> for large-scale action and suspense , which director shekhar kapur supplies with <font color = green>tremendous</font> <font color = green>skill</font> .","the story <font color = red>poses</font> ample <font color = red>hazard</font> for large-scale action and suspense , which director shekhar kapur supplies with <font color = red>huge</font> <font color = red>jurisdictional</font> .",0.001867830753326416,0.9866936802864075,1,0,1,171,"Successful"
"ultimately this is a <font color = red>frustrating</font> patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .","ultimately this is a <font color = green>unnerving</font> patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .",0.0012558698654174805,0.9796515107154846,0,1,0,49,"Successful"
"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",0.9787995219230652,0.9787995219230652,1,1,0,1,"Skipped"
